state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Maharashtra,Kolhapur,Jyotiba Temple,Religious Site,25,15,16,4.6,9000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Darshan': 4.8, 'Religious Rituals': 4.5}",Jyotiba_Temple_Kolhapur_Maharashtra1744827469166.webp
Maharashtra,Kolhapur,New Palace Museum,Museum,15,8,9,4.5,5000,October/November/December,History/Artifacts/Culture,TRUE,TRUE,TRUE,TRUE,"{'History': 4.6, 'Artifacts': 4.7, 'Culture': 4.4}",New_Palace_Museum_Kolhapur_Maharashtra1744827476648.webp
Maharashtra,Ratnagiri,Ganpatipule Beach,Beach,30,10,11,4.4,8000,October/November/December,Beach Activities/Water Sports/Sunset Viewing,TRUE,TRUE,TRUE,TRUE,"{'Beach Activities': 4.5, 'Water Sports': 4.6, 'Sunset Viewing': 4.3}",Ganpatipule_Beach_Ratnagiri_Maharashtra1744827485655.webp
Maharashtra,Ratnagiri,Ganpatipule Temple,Religious Site,32,12,13,4.7,12000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.8, 'Darshan': 4.9, 'Religious Rituals': 4.6}",Ganpatipule_Temple_Ratnagiri_Maharashtra1744827494232.webp
Maharashtra,Ratnagiri,Ratnadurg Fort,Historical Fort,25,8,9,4.3,5000,October/November/December,History/Fort Exploration/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'Fort Exploration': 4.5, 'Scenic Views': 4.2}",Ratnadurg_Fort_Ratnagiri_Maharashtra1744827502679.webp
Maharashtra,Ratnagiri,Thiba Palace,Historical Building,28,10,11,4.2,4000,October/November/December,History/Architecture/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.3, 'Architecture': 4.4, 'Photography': 4.1}",Thiba_Palace_Ratnagiri_Maharashtra1744827511091.webp
Maharashtra,Ratnagiri,Guhagar Beach,Beach,40,15,16,4.5,6000,October/November/December,Beach Activities/Water Sports/Sunset Viewing,TRUE,TRUE,TRUE,TRUE,"{'Beach Activities': 4.6, 'Water Sports': 4.7, 'Sunset Viewing': 4.4}",Guhagar_Beach_Ratnagiri_Maharashtra1744827519169.webp
Maharashtra,Chiplun,Parshuram Temple,Religious Site,15,5,6,4.6,9000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Darshan': 4.8, 'Religious Rituals': 4.5}",Parshuram_Temple_Chiplun_Maharashtra1744827527989.webp
Maharashtra,Chiplun,Sawatsada Waterfall,Waterfall,20,8,9,4.3,4000,July/August/September,Nature/Photography/Picnic,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.4, 'Photography': 4.5, 'Picnic': 4.2}",Sawatsada_Waterfall_Chiplun_Maharashtra1744827535683.webp
Maharashtra,Chiplun,Koyna Dam,Dam,40,20,21,4.4,5000,October/November/December,Scenic Views/Photography/Engineering,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 4.5, 'Photography': 4.6, 'Engineering': 4.3}",Koyna_Dam_Chiplun_Maharashtra1744827543401.webp
Maharashtra,Chiplun,Marleshwar Temple,Religious Site,35,15,16,4.5,7000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Darshan': 4.7, 'Religious Rituals': 4.4}",Marleshwar_Temple_Chiplun_Maharashtra1744827551636.webp
Maharashtra,Chiplun,Guhaagar Beach,Beach,50,25,26,4.2,6000,October/November/December,Beach Activities/Water Sports/Sunset Viewing,TRUE,TRUE,TRUE,TRUE,"{'Beach Activities': 4.3, 'Water Sports': 4.4, 'Sunset Viewing': 4.1}",Guhaagar_Beach_Chiplun_Maharashtra1744827560111.webp
Maharashtra,Tarkarli,Tarkarli Beach,Beach,130,5,6,4.5,9000,October/November/December,Beach Activities/Water Sports/Scuba Diving,TRUE,TRUE,TRUE,TRUE,"{'Beach Activities': 4.6, 'Water Sports': 4.7, 'Scuba Diving': 4.4}",Tarkarli_Beach_Tarkarli_Maharashtra1744827568953.webp
Maharashtra,Tarkarli,Devbagh Beach,Beach,135,8,9,4.4,7000,October/November/December,Beach Activities/Water Sports/Dolphin Watching,TRUE,TRUE,TRUE,TRUE,"{'Beach Activities': 4.5, 'Water Sports': 4.6, 'Dolphin Watching': 4.3}",Devbagh_Beach_Tarkarli_Maharashtra1744827576519.webp
Maharashtra,Tarkarli,Sindhudurg Fort,Historical Fort,140,10,11,4.6,8000,October/November/December,History/Fort Exploration/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.7, 'Fort Exploration': 4.8, 'Photography': 4.5}",Sindhudurg_Fort_Tarkarli_Maharashtra1744827585559.webp
Maharashtra,Tarkarli,Tsunami Island,Island,132,6,7,4.3,5000,October/November/December,Water Sports/Photography/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Water Sports': 4.4, 'Photography': 4.5, 'Relaxation': 4.2}",Tsunami_Island_Tarkarli_Maharashtra1744827593305.webp
Maharashtra,Tarkarli,Padmagarh Fort,Historical Fort,138,9,10,4.2,4000,October/November/December,History/Fort Exploration/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'History': 4.3, 'Fort Exploration': 4.4, 'Scenic Views': 4.1}",Padmagarh_Fort_Tarkarli_Maharashtra1744827601208.webp
Maharashtra,Amravati,Chikhaldara,Hill Station,150,10,11,4.3,6000,October/November/December,Scenic Views/Wildlife/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 4.4, 'Wildlife': 4.5, 'Trekking': 4.2}",Chikhaldara_Amravati_Maharashtra1744827611098.webp
Maharashtra,Amravati,Melghat Tiger Reserve,Wildlife Sanctuary,160,15,16,4.5,7000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.6, 'Nature': 4.7, 'Photography': 4.4}",Melghat_Tiger_Reserve_Amravati_Maharashtra1744827620230.webp
Maharashtra,Amravati,Amba Devi Temple,Religious Site,145,8,9,4.6,8000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Darshan': 4.8, 'Religious Rituals': 4.5}",Amba_Devi_Temple_Amravati_Maharashtra1744827627455.webp
Maharashtra,Amravati,Wan Sanctuary,Wildlife Sanctuary,155,12,13,4.2,4000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.3, 'Nature': 4.4, 'Photography': 4.1}",
Maharashtra,Amravati,Gavilgad Fort,Historical Fort,165,18,19,4.1,3000,October/November/December,History/Fort Exploration/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'History': 4.2, 'Fort Exploration': 4.3, 'Scenic Views': 4.0}",Gavilgad_Fort_Amravati_Maharashtra1744827644578.webp
Maharashtra,Nagpur,Deekshabhoomi,Religious Site,8,5,6,4.7,12000,October/November/December,Prayer/Meditation/History,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.8, 'Meditation': 4.9, 'History': 4.6}",Deekshabhoomi_Nagpur_Maharashtra1744827652028.webp
Maharashtra,Nagpur,Zero Mile Stone,Landmark,10,3,4,4.2,4000,October/November/December,Photography/History/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.3, 'History': 4.4, 'Sightseeing': 4.1}",Zero_Mile_Stone_Nagpur_Maharashtra1744827661470.webp
Maharashtra,Nagpur,Futala Lake,Lake,12,6,7,4.4,6000,October/November/December,Boating/Street Food/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Street Food': 4.6, 'Relaxation': 4.3}",Futala_Lake_Nagpur_Maharashtra1744827669720.webp
Maharashtra,Nagpur,Raman Science Centre,Science Center,15,8,9,4.5,5000,October/November/December,Science Exhibits/Planetarium/Education,TRUE,TRUE,TRUE,TRUE,"{'Science Exhibits': 4.6, 'Planetarium': 4.7, 'Education': 4.4}",Raman_Science_Centre_Nagpur_Maharashtra1744827677700.webp
Maharashtra,Nagpur,Sitabuldi Fort,Historical Fort,18,10,11,4.3,7000,October/November/December,History/Fort Exploration/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'Fort Exploration': 4.5, 'Scenic Views': 4.2}",Sitabuldi_Fort_Nagpur_Maharashtra1744827686037.webp
Maharashtra,Wardha,Sevagram Ashram,Historical Site,80,10,11,4.6,7000,October/November/December,History/Gandhi's Life/Meditation,TRUE,TRUE,TRUE,TRUE,{},Sevagram_Ashram_Wardha_Maharashtra1744827694543.webp
Maharashtra,Wardha,Kelzar Lake,Lake,90,15,16,4.3,4000,October/November/December,Boating/Photography/Nature,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.4, 'Photography': 4.5, 'Nature': 4.2}",Kelzar_Lake_Wardha_Maharashtra1744827703300.webp
Maharashtra,Wardha,Bor Wildlife Sanctuary,Wildlife Sanctuary,100,20,21,4.4,5000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.5, 'Nature': 4.6, 'Photography': 4.3}",Bor_Wildlife_Sanctuary_Wardha_Maharashtra1744827713002.webp
Maharashtra,Wardha,Gitai Mandir,Religious Site,85,12,13,4.5,6000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Darshan': 4.7, 'Religious Rituals': 4.4}",Gitai_Mandir_Wardha_Maharashtra1744827721305.webp
Maharashtra,Wardha,Paramdham Ashram,Religious Site,95,18,19,4.2,3000,October/November/December,Meditation/Yoga/Relaxation,TRUE,TRUE,FALSE,TRUE,"{'Meditation': 4.3, 'Yoga': 4.4, 'Relaxation': 4.1}",Paramdham_Ashram_Wardha_Maharashtra1744827729607.webp
Maharashtra,Bhandara,Umred Karhandla Wildlife Sanctuary,Wildlife Sanctuary,70,10,11,4.4,6000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.5, 'Nature': 4.6, 'Photography': 4.3}",Umred_Karhandla_Wildlife_Sanctuary_Bhandara_Maharashtra1744827737808.webp
Maharashtra,Bhandara,Gondia Gate,Historical Landmark,65,8,9,4.2,3000,October/November/December,Photography/History/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.3, 'History': 4.4, 'Sightseeing': 4.1}",Gondia_Gate_Bhandara_Maharashtra1744827745787.webp
Maharashtra,Bhandara,Indira Gandhi Sarovar Dam,Dam,80,15,16,4.3,4000,October/November/December,Scenic Views/Photography/Engineering,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 4.4, 'Photography': 4.5, 'Engineering': 4.2}",Indira_Gandhi_Sarovar_Dam_Bhandara_Maharashtra1744827753682.webp
Maharashtra,Bhandara,Brahmhapuri,Historical Site,75,12,13,4.1,2000,October/November/December,History/Archaeology/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.2, 'Archaeology': 4.3, 'Photography': 4.0}",
Maharashtra,Gondia,Navegaon National Park,National Park,15,5,6,4.5,7000,October/November/December,Wildlife Safari/Nature/Bird Watching,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.6, 'Nature': 4.7, 'Bird Watching': 4.4}",Navegaon_National_Park_Gondia_Maharashtra1744827770941.webp
Maharashtra,Gondia,Hazara Falls,Waterfall,20,8,9,4.3,3000,July/August/September,Nature/Photography/Picnic,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.4, 'Photography': 4.5, 'Picnic': 4.2}",Hazara_Falls_Gondia_Maharashtra1744827780327.webp
Maharashtra,Gondia,Kachargadh Caves,Caves,25,10,11,4.2,2000,October/November/December,Cave Exploration/History/Photography,TRUE,TRUE,TRUE,TRUE,"{'Cave Exploration': 4.3, 'History': 4.4, 'Photography': 4.1}",Kachargadh_Caves_Gondia_Maharashtra1744827790279.webp
Maharashtra,Gondia,Nagzira Wildlife Sanctuary,Wildlife Sanctuary,30,12,13,4.4,5000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.5, 'Nature': 4.6, 'Photography': 4.3}",Nagzira_Wildlife_Sanctuary_Gondia_Maharashtra1744827798107.webp
Maharashtra,Chandrapur,Tadoba Andhari Tiger Reserve,Tiger Reserve,140,15,16,4.6,9000,October/November/December,Wildlife Safari/Tiger Spotting/Nature,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.7, 'Tiger Spotting': 4.8, 'Nature': 4.5}",Tadoba_Andhari_Tiger_Reserve_Chandrapur_Maharashtra1744827806296.webp
Maharashtra,Chandrapur,Anandwan,Social Project,150,20,21,4.5,6000,October/November/December,Social Work/Community Visit/Inspiration,TRUE,TRUE,TRUE,TRUE,"{'Social Work': 4.6, 'Community Visit': 4.7, 'Inspiration': 4.4}",Anandwan_Chandrapur_Maharashtra1744827813826.webp
Maharashtra,Chandrapur,Ghugus,Historical Site,135,12,13,4.3,3000,October/November/December,History/Archaeology/Photography,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'Archaeology': 4.5, 'Photography': 4.2}",Ghugus_Chandrapur_Maharashtra1744827821831.webp
Maharashtra,Yavatmal,Tipeshwar Wildlife Sanctuary,Wildlife Sanctuary,120,10,11,4.4,5000,October/November/December,Wildlife Safari/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.5, 'Nature': 4.6, 'Photography': 4.3}",Tipeshwar_Wildlife_Sanctuary_Yavatmal_Maharashtra1744827830859.webp
Maharashtra,Yavatmal,Pohara Devi Temple,Religious Site,130,15,16,4.6,8000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Darshan': 4.8, 'Religious Rituals': 4.5}",Pohara_Devi_Temple_Yavatmal_Maharashtra1744827838980.webp
Maharashtra,Yavatmal,Isapur Dam,Dam,125,12,13,4.3,4000,October/November/December,Scenic Views/Photography/Engineering,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 4.4, 'Photography': 4.5, 'Engineering': 4.2}",Isapur_Dam_Yavatmal_Maharashtra1744827847616.webp
Maharashtra,Washim,Padmatirtha,Religious Site,100,5,6,4.5,6000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Darshan': 4.7, 'Religious Rituals': 4.4}",Padmatirtha_Washim_Maharashtra1744827855258.webp
Maharashtra,Washim,Antariksha Parshwanath Digambar Jain Temple,Religious Site,110,8,9,4.4,5000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.5, 'Darshan': 4.6, 'Religious Rituals': 4.3}",Antariksha_Parshwanath_Digambar_Jain_Temple_Washim_Maharashtra1744827862834.webp
Maharashtra,Hingoli,Aundha Nagnath Temple,Religious Site,90,10,11,4.7,10000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.8, 'Darshan': 4.9, 'Religious Rituals': 4.6}",Aundha_Nagnath_Temple_Hingoli_Maharashtra1744827870204.webp
Maharashtra,Parbhani,Hazrat Shah Turabul Haq Dargah,Religious Site,70,5,6,4.6,7000,October/November/December,Prayer/Devotion/Spirituality,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Devotion': 4.8, 'Spirituality': 4.5}",Hazrat_Shah_Turabul_Haq_Dargah_Parbhani_Maharashtra1744827878195.webp
Maharashtra,Beed,Kankaleshwar Temple,Religious Site,80,10,11,4.5,6000,October/November/December,Prayer/Darshan/Religious Rituals,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Darshan': 4.7, 'Religious Rituals': 4.4}",Kankaleshwar_Temple_Beed_Maharashtra1744827886808.webp
Maharashtra,Jalna,Moti Talav,Lake,60,5,6,4.3,4000,October/November/December,Boating/Photography/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.4, 'Photography': 4.5, 'Relaxation': 4.2}",Moti_Talav_Jalna_Maharashtra1744827895919.webp
Manipur,Imphal,Kangla Fort,Historical Site,6,2,,4.5,2345,October/November/December,Sightseeing/History/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.6, 'History': 4.7, 'Photography': 4.4}",Kangla_Fort_Imphal_Manipur1744827904359.webp
Manipur,Imphal,Shree Shree Govindajee Temple,Religious Site,7,3,,4.6,1876,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.8, 'Culture': 4.5, 'Architecture': 4.6}",Shree_Shree_Govindajee_Temple_Imphal_Manipur1744827911879.webp
Manipur,Imphal,Ima Keithel (Women's Market),Market,8,2,,4.7,3122,October/November/December,Shopping/Culture/Local Food,TRUE,FALSE,TRUE,TRUE,"{'Shopping': 4.9, 'Culture': 4.6, 'Local Food': 4.5}",Ima_Keithel_(Women's_Market)_Imphal_Manipur1744827920347.webp
Manipur,Imphal,Loktak Lake,Lake,48,45,,4.8,4567,November/December/January,Boating/Fishing/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.9, 'Fishing': 4.7, 'Sightseeing': 4.8}",Loktak_Lake_Imphal_Manipur1744827929312.webp
Manipur,Bishnupur,Bishnu Temple,Religious Site,55,50,,4.4,1234,October/November/December,Prayer/History/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.5, 'History': 4.3, 'Architecture': 4.4}",Bishnu_Temple_Bishnupur_Manipur1744827937860.webp
Manipur,Ukhrul,Shirui Kashong Peak,Mountain Peak,120,115,,4.6,890,April/May/June,Trekking/Sightseeing/Photography,TRUE,FALSE,FALSE,TRUE,"{'Trekking': 4.7, 'Sightseeing': 4.5, 'Photography': 4.6}",
Manipur,Senapati,Dzuko Valley,Valley,140,135,,4.9,5678,September/October/November,Trekking/Camping/Photography,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 5.0, 'Camping': 4.8, 'Photography': 4.9}",Dzuko_Valley_Senapati_Manipur1744827945997.webp
Manipur,Tamenglong,Tharon Cave,Cave,180,175,,4.3,901,November/December/January,Exploration/History/Adventure,TRUE,FALSE,TRUE,TRUE,"{'Exploration': 4.4, 'History': 4.2, 'Adventure': 4.3}",Tharon_Cave_Tamenglong_Manipur1744827953896.webp
Manipur,Churachandpur,Khuga Dam,Dam,70,65,,4.5,1012,October/November/December,Sightseeing/Picnic/Boating,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.6, 'Picnic': 4.4, 'Boating': 4.5}",Khuga_Dam_Churachandpur_Manipur1744827961048.webp
Manipur,Thoubal,Waithou Lake,Lake,35,30,,4.2,1345,November/December/January,Birdwatching/Fishing/Sightseeing,TRUE,FALSE,TRUE,TRUE,"{'Birdwatching': 4.3, 'Fishing': 4.1, 'Sightseeing': 4.2}",Waithou_Lake_Thoubal_Manipur1744827968900.webp
Manipur,Imphal,Singda Dam,Dam,30,25,,4.4,1567,October/November/December,Picnic/Sightseeing/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Picnic': 4.5, 'Sightseeing': 4.3, 'Relaxation': 4.4}",
Manipur,Imphal,Manipur State Museum,Museum,7,2,,4.3,1789,October/November/December,History/Culture/Artifacts,TRUE,FALSE,TRUE,TRUE,"{'History': 4.4, 'Culture': 4.2, 'Artifacts': 4.3}",Manipur_State_Museum_Imphal_Manipur1744827978164.webp
Manipur,Imphal,Khonghampat Orchidarium,Botanical Garden,25,20,,4.6,2012,March/April/May,Sightseeing/Photography/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.7, 'Photography': 4.5, 'Nature': 4.6}",Khonghampat_Orchidarium_Imphal_Manipur1744827986555.webp
Manipur,Imphal,War Cemetery,Historical Site,6,1,,4.7,2234,October/November/December,History/Remembrance/Peace,TRUE,TRUE,TRUE,TRUE,"{'History': 4.8, 'Remembrance': 4.6, 'Peace': 4.7}",War_Cemetery_Imphal_Manipur1744827994664.webp
Manipur,Imphal,Hundung Mangva Cave,Cave,,,,4.2,500,November/December/January,Exploration/Adventure/Photography,TRUE,FALSE,TRUE,TRUE,"{'Exploration': 4.3, 'Adventure': 4.1, 'Photography': 4.2}",Hundung_Mangva_Cave_Imphal_Manipur1744828002703.webp
Manipur,Imphal,Sirohi National Park,National Park,,,,4.5,750,April/May/June,Wildlife/Trekking/Nature,TRUE,FALSE,TRUE,TRUE,"{'Wildlife': 4.6, 'Trekking': 4.4, 'Nature': 4.5}",Sirohi_National_Park_Imphal_Manipur1744828011222.webp
Manipur,Imphal,Moreh,Border Town,,,,4,1000,October/November/December,Shopping/Culture/International Border,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.1, 'Culture': 3.9, 'International Border': 4.0}",Moreh_Imphal_Manipur1744828019549.webp
Manipur,Imphal,Red Hills Lokpaching,Historical Site,,,,4.3,1250,October/November/December,History/War Memorial/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'War Memorial': 4.2, 'Sightseeing': 4.3}",Red_Hills_Lokpaching_Imphal_Manipur1744828027604.webp
Manipur,Imphal,Kangchup Geljang,Hill Station,,,,4.6,1500,October/November/December,Sightseeing/Trekking/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.7, 'Trekking': 4.5, 'Nature': 4.6}",Kangchup_Geljang_Imphal_Manipur1744828035646.webp
Manipur,Imphal,Loukoipat Ecological Park,Park,,,,4.4,1750,October/November/December,Nature/Picnic/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.5, 'Picnic': 4.3, 'Relaxation': 4.4}",Loukoipat_Ecological_Park_Imphal_Manipur1744828043699.webp
Manipur,Imphal,Langthabal,Historical Site,,,,4.2,2000,October/November/December,History/Architecture/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'History': 4.3, 'Architecture': 4.1, 'Sightseeing': 4.2}",Langthabal_Imphal_Manipur1744828051661.webp
Manipur,Imphal,Cheiraoching,Hill,,,,4.5,2250,October/November/December,Trekking/Sightseeing/Photography,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.6, 'Sightseeing': 4.4, 'Photography': 4.5}",Cheiraoching_Imphal_Manipur1744828060072.webp
Manipur,Imphal,Andro Village,Village,,,,4.3,2500,October/November/December,Culture/Pottery/Local Life,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Pottery': 4.2, 'Local Life': 4.3}",Andro_Village_Imphal_Manipur1744828068778.webp
Manipur,Imphal,Phubala,Island,,,,4.6,2750,October/November/December,Boating/Picnic/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.7, 'Picnic': 4.5, 'Sightseeing': 4.6}",
Manipur,Imphal,Sendra Island,Island,,,,4.4,3000,October/November/December,Boating/Picnic/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Picnic': 4.3, 'Sightseeing': 4.4}",Sendra_Island_Imphal_Manipur1744828086029.webp
Manipur,Imphal,Keibul Lamjao National Park,National Park,55,50,,4.9,6000,November/December/January,Wildlife/Sangai Deer/Boating,TRUE,TRUE,TRUE,TRUE,"{'Wildlife': 5.0, 'Sangai Deer': 4.8, 'Boating': 4.9}",Keibul_Lamjao_National_Park_Imphal_Manipur1744828094390.webp
Manipur,Imphal,Nongmaiching Ecological Park,Park,,,,4.5,3250,October/November/December,Nature/Picnic/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.6, 'Picnic': 4.4, 'Relaxation': 4.5}",Nongmaiching_Ecological_Park_Imphal_Manipur1744828103397.webp
Manipur,Imphal,Moirang,Historical Site,,,,4.3,3500,October/November/December,History/Culture/INA Memorial,TRUE,TRUE,TRUE,TRUE,"{'History': 4.4, 'Culture': 4.2, 'INA Memorial': 4.3}",Moirang_Imphal_Manipur1744828112119.webp
Manipur,Imphal,INA Memorial,Historical Site,,,,4.6,3750,October/November/December,History/War Memorial/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'History': 4.7, 'War Memorial': 4.5, 'Sightseeing': 4.6}",INA_Memorial_Imphal_Manipur1744828120063.webp
Manipur,Imphal,Khongjom War Memorial,Historical Site,,,,4.4,4000,October/November/December,History/War Memorial/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'History': 4.5, 'War Memorial': 4.3, 'Sightseeing': 4.4}",Khongjom_War_Memorial_Imphal_Manipur1744828128975.webp
Manipur,Imphal,Mapithel Dam,Dam,,,,4.2,4250,October/November/December,Sightseeing/Picnic/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.3, 'Picnic': 4.1, 'Relaxation': 4.2}",Mapithel_Dam_Imphal_Manipur1744828137477.webp
Manipur,Imphal,Kangkhui Lime Cave,Cave,,,,4.5,4500,November/December/January,Exploration/Adventure/Photography,TRUE,FALSE,TRUE,TRUE,"{'Exploration': 4.6, 'Adventure': 4.4, 'Photography': 4.5}",Kangkhui_Lime_Cave_Imphal_Manipur1744828145631.webp
Manipur,Imphal,Thanga Island,Island,,,,4.3,4750,October/November/December,Boating/Picnic/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.4, 'Picnic': 4.2, 'Sightseeing': 4.3}",Thanga_Island_Imphal_Manipur1744828154407.webp
Manipur,Imphal,Phalong Village,Village,,,,4.6,5000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Phalong_Village_Imphal_Manipur1744828162872.webp
Manipur,Imphal,Tengnoupal,Hill Station,,,,4.4,5250,October/November/December,Sightseeing/Trekking/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Trekking': 4.3, 'Nature': 4.4}",Tengnoupal_Imphal_Manipur1744828170458.webp
Manipur,Imphal,Nungleiband Pukhri,Lake,,,,4.2,5500,October/November/December,Sightseeing/Relaxation/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.3, 'Relaxation': 4.1, 'Nature': 4.2}",Nungleiband_Pukhri_Imphal_Manipur1744828178433.webp
Manipur,Imphal,Kaina Temple,Religious Site,,,,4.5,5750,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.6, 'Culture': 4.4, 'Architecture': 4.5}",Kaina_Temple_Imphal_Manipur1744828187004.webp
Manipur,Imphal,Shri Balaji Temple,Religious Site,,,,4.3,6000,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.4, 'Culture': 4.2, 'Architecture': 4.3}",Shri_Balaji_Temple_Imphal_Manipur1744828195480.webp
Manipur,Imphal,Catholic Church,Religious Site,,,,4.6,6250,October/November/December,Prayer/Architecture/Peace,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Architecture': 4.5, 'Peace': 4.6}",Catholic_Church_Imphal_Manipur1744828203677.webp
Manipur,Imphal,Jamia Masjid,Religious Site,,,,4.4,6500,October/November/December,Prayer/Architecture/Culture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.5, 'Architecture': 4.3, 'Culture': 4.4}",Jamia_Masjid_Imphal_Manipur1744828211990.webp
Manipur,Imphal,ISKON Temple,Religious Site,,,,4.2,6750,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.3, 'Culture': 4.1, 'Architecture': 4.2}",ISKON_Temple_Imphal_Manipur1744828220879.webp
